number,title,url,result,addressed,remaining,prs
6835,USWDS - Feature: Consider an implementation-context example for modal accessibility testing,https://github.com/uswds/uswds/issues/6835,implemented_in_pr,"Added a USWDS-maintained implementation-context scenario covering modal naming, focus entry/trapping/return, background isolation, and a repeatable regression check.",No component failure or outside-resource endorsement is asserted.,https://github.com/uswds/uswds-site/pull/3312
6812,Migrate release-prep runbook from workflow header comment to wiki,https://github.com/uswds/uswds/issues/6812,implemented_in_pr,"Published the canonical release-operations wiki, linked the wiki index and historical release page, and replaced both workflow runbook headers with the canonical link.",Merge the workflow-header PR. Wiki publication is complete; executable workflow content was unchanged.,https://github.com/uswds/uswds/pull/6950
6779,META: TTS Code of Conduct link update [draft],https://github.com/uswds/uswds/issues/6779,partially_implemented,Prepared the exact requested conduct-policy replacement in seven active repositories. Audited all 14 active public organization repositories for retired wording.,"Review and merge seven PRs. Two archived repositories, uswds-gulp and luminance-tool, retain the wording; patches are prepared, archive states unchanged. The CodeRabbit policy-scope concern is documented; wording matches the leadership request verbatim.",https://github.com/uswds/uswds/pull/6949 ; https://github.com/uswds/uswds-site/pull/3309 ; https://github.com/uswds/uswds-team/pull/497 ; https://github.com/uswds/uswds-for-designers/pull/102 ; https://github.com/uswds/uswds-compile/pull/196 ; https://github.com/uswds/uswds-cdn-poc/pull/4 ; https://github.com/uswds/uswds-elements/pull/329
6548,Phase 2: Path settings page does not include components variable in documentation,https://github.com/uswds/uswds/issues/6548,implemented_in_pr,Web component source and destination path settings; copyWebComponents and copyAssets behavior; Custom destination example and module URL update requirement.,Review and merge the PR.,https://github.com/uswds/uswds-site/pull/3313
6530,USWDS - Feature: Documentation site - show all states and options for form controls,https://github.com/uswds/uswds/issues/6530,partially_implemented,"13 component stories and 11 site error examples on nine pages, retaining hints where present and resolving all new description references.","Checkbox PR #6801 remains pending. Combo/time site error examples deferred for enhancement gaps. Additional hint-only, success, disabled and other cross-component state combinations remain. Do not close broad issue from these PRs.",https://github.com/uswds/uswds/pull/6957 ; https://github.com/uswds/uswds-site/pull/3316
6516,USWDS - ADR: Prefer intrinsic layouts and container queries to page level media queries for responsive design,https://github.com/uswds/uswds/issues/6516,proposed_decision,"Complete ADR covering decision, container ownership, compatibility, review evidence, alternatives and consequences; Explicit Proposed status and pending acceptance record.","Maintainers accept, revise, or reject the preference; Record acceptance date and PR only after approval.",https://github.com/uswds/uswds/pull/6956
6451,USWDS - Feature: Pagination accessibility tests,https://github.com/uswds/uswds/issues/6451,implemented_in_pr,Added conditional keyboard and screen-reader pagination checks plus dynamic-update focus guidance.,Each application must perform the checks. No tested version or screen-reader pass was invented.,https://github.com/uswds/uswds-site/pull/3312
6445,Add changelog items for recent updates,https://github.com/uswds/uswds/issues/6445,partially_implemented,"Added header, modal, and tooltip changelogs for the reduced-motion changes from merged core PR #6268, verified in release 3.13.0 dated 2025-05-23.","Merge the changelogs. Core PR #5826 remains open, so its proposed behavior is not documented as shipped.",https://github.com/uswds/uswds-site/pull/3310
6428,USWDS - Bug: Input mask hint text needs clarity,https://github.com/uswds/uswds/issues/6428,partially_implemented,"Specified the alternating letter/number sequence in the core example; expanded accepted-format, hint association, and validation guidance; corrected the reversed documentation example.",Immediate accessible feedback for rejected characters remains with the input-mask behavior/refactor work. No runtime feedback change was made.,https://github.com/uswds/uswds/pull/6953 ; https://github.com/uswds/uswds-site/pull/3312
6401,Review/Rework section of Maturity Model page content with PDF,https://github.com/uswds/uswds/issues/6401,implemented_in_pr,HTML maturity worksheet replacing the recommended draft PDF; Current assessment activities and current component guidance links; Historical PDF URLs preserved.,Editorial approval of the replacement; Historical PDFs remain unremediated and are no longer the recommended resource.,https://github.com/uswds/uswds-site/pull/3313
6396,Draft language for new pages,https://github.com/uswds/uswds/issues/6396,needs_source,Reviewed the issue and linked new-page information architecture task. Neither names the new products or provides approved page scope.,Identify products and target pages before authoring accurate new-page copy.,
6395,Create language on new products for priority pages,https://github.com/uswds/uswds/issues/6395,needs_source,Reviewed the issue and linked priority-page planning. The linked planning source could not be retrieved.,"Identify the products, approved descriptions, and priority pages before authoring copy.",
6336,"Create ""What’s New” site governance",https://github.com/uswds/uswds/issues/6336,proposed_decision,"Complete editorial workflow; Peer review before designated federal review; Length, headings, front matter and publication guidance; Publication and correction checklists.",Maintainer acceptance of the proposed workflow.,https://github.com/uswds/uswds-site/pull/3314
6327,Add Jan '25 Q&A to discussions,https://github.com/uswds/uswds/issues/6327,needs_source,"Reviewed the January 2025 publication checklist. The draft could not be retrieved, and federal approval remains unchecked.","Provide the approved Q&A draft, or explicitly retire this historical publication task. No content was invented or published.",
6277,USWDS - Define empty placeholder link references,https://github.com/uswds/uswds/issues/6277,implemented_in_pr,"Five template data files supply the missing placeholder_link, eliminating eight empty main-content hrefs across rendered examples.",Actual application destinations remain integrator supplied. Pre-existing empty identifier links are separate.,https://github.com/uswds/uswds/pull/6952
6275,Create and add December MC Q&A to discussions,https://github.com/uswds/uswds/issues/6275,needs_source,"Reviewed the December 2024 publication checklist. The draft could not be retrieved, and federal approval remains unchecked.","Provide the approved Q&A draft, or explicitly retire this historical publication task. No content was invented or published.",
6247,Creating common criteria sheet in CC checklist,https://github.com/uswds/uswds/issues/6247,partially_implemented,"11-row CSV with stable IDs, WCAG criterion references and levels, test types, and Given/When/Then wording; Common wording maintenance and result-recording guide; Gherkin examples.",Accessibility maintainer review; Import approved CSV into the private workbook by someone with access.,https://github.com/uswds/uswds-site/pull/3314
6241,USWDS - Date picker: Improve hint text,https://github.com/uswds/uswds/issues/6241,partially_implemented,"Replaced abbreviation-only guidance with directions to describe date format and both manual entry and calendar selection, associated with the field.",Acceptance of the specific proposed default hint still depends on research findings. Closed prototype #176 and research plan #437 are not evidence of successful user testing.,https://github.com/uswds/uswds-site/pull/3312
6240,USWDS - Form inputs: Add error stories to all relevant form components,https://github.com/uswds/uswds/issues/6240,partially_implemented,Added 13 standalone error stories for 11 components. Existing text-input and file-input error stories retained.,Checkbox stories remain in contributor PR #6801. Combo/time stories expose enhancement class and ARIA loss. PR #6942 covers only combo-box select class propagation. Time-picker class propagation and both components’ ARIA propagation remain separate gaps.,https://github.com/uswds/uswds/pull/6957
6178,USWDS - Component lifecycle: Be explicit about role of community in proposal discussion process,https://github.com/uswds/uswds/issues/6178,partially_implemented,Community and core-team responsibilities on lifecycle page; Clarified formal proposal transition in phase data; Complete copy-ready pinned discussion guidance.,Review proposed clarification; Apply reviewed replacement text to pinned discussion #5764.,https://github.com/uswds/uswds-site/pull/3314
6089,Transition data visualization into a pattern,https://github.com/uswds/uswds/issues/6089,implemented_in_pr,"Actual migration to Patterns with old URL redirect; Navigation, overview card, table guidance link and lifecycle inventory updates; Preserved chart SVGs, tables, anchors and changelog history.",Review and merge the migration.,https://github.com/uswds/uswds-site/pull/3315
6065,USWDS - Bug: Button group back button reading as a link to screen reader,https://github.com/uswds/uswds/issues/6065,implemented_in_pr,"Explained intentional Back link and Continue button semantics, appropriate HTML by action, and keyboard behavior.",No role change is necessary for a navigational link. The example is explained rather than recoded as an incorrect button.,https://github.com/uswds/uswds-site/pull/3312
6055,USWDS - Enhancement: Add clarity to combo box instructions,https://github.com/uswds/uswds/issues/6055,partially_implemented,Added suggested visible copy explaining that users may type to narrow options or select from the complete list; documented the need to check the generated input association.,The core preview and its hint association need the existing PR #6411. No competing JavaScript fix or unverified screen-reader announcement claim was added.,https://github.com/uswds/uswds-site/pull/3312
5931,USWDS - Bug: documentation site missing content and busted,https://github.com/uswds/uswds/issues/5931,implemented_in_pr,"Added authenticated GitHub data requests, explicit build failure for missing required data or malformed cache, and cache recovery documentation. The regression test fails on the old malformed-cache behavior and passes after the fix.","Review and merge the separately tested Ruby plugin fix. This reproduces the silent-data-failure path identified in the discussion, not a newly observed production outage.",https://github.com/uswds/uswds-site/pull/3311
5888,USWDS - Feature: clarify browser support,https://github.com/uswds/uswds/issues/5888,partially_implemented,"Explained worldwide Browserslist data, query combination, difference from analytics.usa.gov and testing evidence, site-specific audience evaluation, and browser reporting.","The official observation period, mobile/desktop metric policy, and support commitments remain a maintainer decision. Existing support policy and config are unchanged.",https://github.com/uswds/uswds/pull/6955
5709,Disabled States: Phase 2,https://github.com/uswds/uswds/issues/5709,partially_implemented,"All six phase-2 target pages distinguish native disabled, aria-disabled, readonly and appropriate submission guidance. Date-picker procedures and differing native/ARIA submission behavior documented.",No new physical keyboard/assistive-technology matrix claimed. Phase-3 component guidance remains in uswds-site#2248.,https://github.com/uswds/uswds-site/pull/3316
5484,Refactor Input Mask: Add JSDocs comments,https://github.com/uswds/uswds/issues/5484,partially_implemented,"Current input-mask functions and behavior methods document arguments, return values and side effects. Existing rewrite PR #5227 preserved.",Private Google Doc acceptance checklist could not be reviewed. Rewrite-specific functions remain within PR #5227.,https://github.com/uswds/uswds/pull/6951
5473,Review technical information on maturity model page,https://github.com/uswds/uswds/issues/5473,implemented_in_pr,Current contribution links; Descriptive headings with legacy anchors; Current installation and customization links; Implementation and assessment checks; Updated resource section and HTML worksheet.,Technical and editorial review; Private historical Google Docs draft not reconciled or modified.,https://github.com/uswds/uswds-site/pull/3313
5270,USWDS - Future Bug: Banner references deprecated lock icon on Chromium browsers,https://github.com/uswds/uswds/issues/5270,implemented_in_pr,"Removed obsolete inline padlock instructions from four core Twig variants, ten complete page-template variants using the English and Spanish base caller, web-component fallback, and the site banner. The explanation retains HTTPS and existing official-site safety wording.","Needs normal review, merge, and release classification. Removing the fallback lock-icon part is potentially breaking for consumers that style it; the static lockIcon helper is retained. Site component previews follow their pinned library dependency. Physical assistive-technology testing was not performed.",https://github.com/uswds/uswds/pull/6954 ; https://github.com/uswds/uswds-site/pull/3312
5244,USWDS - Input mask: Evaluate hint text,https://github.com/uswds/uswds/issues/5244,implemented_in_pr,Replaced example-only hints for all four input masks with accepted digit counts or letter/number order; added reusable hint guidance.,"The input-mask V2 documentation PRs #2073/#1979 remain separate, pending their associated code refactor.",https://github.com/uswds/uswds/pull/6953 ; https://github.com/uswds/uswds-site/pull/3312
5217,USWDS - Core: Update comment style for SASS functions,https://github.com/uswds/uswds/issues/5217,implemented_in_pr,All ordinary loud comments under core Sass functions now silent. Four parameter-documented functions and nine color functions use SassDoc directly above functions. Corrected radius token description. Contributor guidance explains conventions.,Complete SassDoc metadata generation across all functions was not introduced; no requirement for generated documentation was inferred.,https://github.com/uswds/uswds/pull/6951
4504,Add example markup for range limit labels,https://github.com/uswds/uswds/issues/4504,implemented_in_pr,"Added complete range endpoint markup with min/max/step, associated hint and decorative endpoint labels; explained generated wrapper, value display and aria-valuetext; refreshed technical references.",Custom scales and screen-reader combinations still need implementation testing. Chrome ArrowRight check verified 50 to 60 and matching aria-valuetext only.,https://github.com/uswds/uswds-site/pull/3312
